imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,non-us,worlwide_gross_income_ccy,worlwide_gross_income_value
tt0454776,Amazing Grace,Amazing Grace,2006,2007-02-23,"Biography, Drama, History",118,"USA, UK",English,Michael Apted,Steven Knight,Bristol Bay Productions,"Ioan Gruffudd, Romola Garai, Benedict Cumberbatch, Albert Finney, Michael Gambon, Rufus Sewell, Youssou N'Dour, Ciarán Hinds, Toby Jones, Nicholas Farrell, Sylvestra Le Touzel, Jeremy Swift, Stephen Campbell Moore, Bill Paterson, Nicholas Day","The idealist William Wilberforce (Ioan Gruffudd) maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.",7.4,23656,,$ 21250683,$ 32120360,65.0,158.0,97.0,1,$,32120360.0
tt0401815,Tamara - Toccata dal fuoco,Tamara,2005,2006-11-17,"Drama, Fantasy, Horror",98,Canada,English,Jeremy Haft,Jeffrey Reddick,Manitoba Film and Video Production Tax Credit,"Jenna Dewan, Katie Stuart, Chad Faust, Bryan Clark, Melissa Marie Elias, Gil Hacohen, Marc Devigne, Matthew Marsden, Claudette Mink, Chris Sigurdson, Sarah Blondin, Magally Zelaya, Ernesto Griffith, Brian Davisson, Brandy Jaques","Tamara, an unattractive girl, who is picked on by her peers returns after her death as a sexy seductress to exact revenge.",5.1,9672,$ 3500000,$ 206871,$ 206871,34.0,103.0,65.0,1,$,206871.0
tt0072195,Space Is the Place,Space Is the Place,1974,1974-11-01,"Sci-Fi, Music",85,USA,English,John Coney,"Joshua Smith, Sun Ra",North American Star System,"Barbara Deloney, Sun Ra, Raymond Johnson, Erika Leder, Christopher Brooks, La Shaa Stallings, Sinthia Ayala, Clarence Brewer, June Tyson, Morgan Upton, Walter Burns, Tiny Parker, Sam Bankhead, John Gilmore, Marshall Allen","Sun Ra--space-age prophet, pharoanic jester, shaman-philosopher and avant-jazz keyboardist/bandleader--lands his spaceship in Oakland, having been presumed lost in space for a few years. ...",6.6,853,,,,,11.0,16.0,0,,
tt0032840,Luna nuova,New Moon,1940,1940-06-28,"Musical, Romance, Adventure",105,USA,English,"Robert Z. Leonard, W.S. Van Dyke","Oscar Hammerstein II, Frank Mandel",Metro-Goldwyn-Mayer (MGM),"Jeanette MacDonald, Nelson Eddy, Mary Boland, George Zucco, H.B. Warner, Grant Mitchell, Stanley Fields, Dick Purcell, John Miljan, Ivan F. Simpson, William Tannen, Bunty Cutler, Claude King, Cecil Cunningham, Joe Yule","On a Louisiana-bound ship, a nobleman planning a campaign for liberty encounters an heiress.",6.9,517,,,,,21.0,6.0,0,,
tt0282108,Quo Vadis,Quo Vadis,2001,2001-09-14,Drama,165,"Poland, USA",Polish,Jerzy Kawalerowicz,"Jerzy Kawalerowicz, Henryk Sienkiewicz",Chronos-Film,"Pawel Delag, Magdalena Mielcarz, Boguslaw Linda, Michal Bajor, Jerzy Trela, Franciszek Pieczka, Krzysztof Majchrzak, Rafal Kubacki, Andrzej Tomecki, Jerzy Nowak, Zbigniew Walerys, Agnieszka Wagner, Malgorzata Pieczynska, Marta Piechowiak, Danuta Stenka","Marcus Vinicius meets Lygia in Rome and falls in love. But she is Christian and doesn't want anything to do with him. Marcus decides to kidnap her but Ursus, her bodyguard, catches Marcus. ...",5.7,1918,$ 18000000,,,67.0,31.0,6.0,1,,
tt1070829,Nochnoy bazar,Nochnoy bazar,2005,2005-02-23,"Action, Comedy, Fantasy",116,Russia,Russian,"Aleksandr Bachilo, Timur Bekmambetov",,,"Konstantin Khabenskiy, Yuriy Kutsenko, Vladimir Menshov, Mariya Mironova, Galina Tyunina, Valeriy Zolotukhin",,4.4,389,,,,,,,1,,
tt0356803,Kunjikkoonan,Kunjikkoonan,2002,2002,"Comedy, Drama, Romance",120,India,Malayalam,Sasi Shankar,,,"Dileep, Navya Nair, Ajaykumar, Nithya Das, Sphadikam George, Cochin Hanifa, Salim Kumar, Manya, Bindu Panikkar, Saikumar, Machan Varghese, Nedumudi Venu",Story of selfless hunchback (Dileep) seeking a bride.,6.4,370,,,,,,,1,,
tt0063442,Il pianeta delle scimmie,Planet of the Apes,1968,1968-04-10,"Adventure, Sci-Fi",112,USA,English,Franklin J. Schaffner,"Michael Wilson, Rod Serling",APJAC Productions,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans, James Whitmore, James Daly, Linda Harrison, Robert Gunner, Lou Wagner, Woodrow Parfrey, Jeff Burton, Buck Kartalian, Norman Burton, Wright King, Paul Lambert","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",8.0,162872,$ 5800000,$ 32589624,$ 32599045,79.0,447.0,152.0,0,$,32599045.0
tt0054641,"Antinea, l'amante della città sepolta","Antinea, l'amante della città sepolta",1961,1961-05-05,"Adventure, Fantasy",105,"Italy, France","English, Italian","Edgar G. Ulmer, Frank Borzage","Pierre Benoît, Remigio Del Grosso",Compagnia Cinematografica Mondiale (CCM),"Haya Harareet, Jean-Louis Trintignant, Georges Rivière, James Westmoreland, Amedeo Nazzari, Giulia Rubini, Gabriele Tinti, Ignazio Dolce, Gian Maria Volontè","A helicopter crashes in the desert, and the crew winds up in the underground city of Atlantis and get mixed up in a slave revolt.",5.3,108,,,,,7.0,3.0,1,,
tt4779296,Piled Higher and Deeper: Still in Grad School,Piled Higher and Deeper: Still in Grad School,2015,2015-09-16,"Comedy, Drama",80,USA,English,Iram Parveen Bilal,Jorge Cham,,"Zachary Abbott, Kari Alison Hodge, Roy Allen III, Evans Boney, Susanna Boney, Tim Boyd, Ken Breese, Anthony Chu, Katie Condidorio, Crystal Dilworth, Precious Holloway, Barbera Ann Howard, Raj Katti, Alexandra Lockwood, Jenney McAfee",A comedy about life (or the lack thereof) in Academia. Two young scientists (a Quantum Physicist and a Molecular Biologist) search for significance in the high stakes world of Academic research.,6.9,142,,,,,1.0,,0,,
tt0072239,Symptoms l'incubo dei sensi,Symptoms,1974,1976-06-01,Horror,92,"UK, Belgium, Spain",English,José Ramón Larraz,"José Ramón Larraz, Stanley Miller",Finiton Productions,"Angela Pleasence, Peter Vaughan, Lorna Heilbron, Nancy Nevinson, Ronald O'Neil, Marie-Paule Mailleux, Mike Grady, Raymond Huntley","A young woman is invited by her girlfriend, who lives in an English country mansion, to stay there with her. The estate, however, isn't quite what it seems--and neither is the friend who issued the invitation.",6.5,1071,,,,,19.0,35.0,1,,
tt2084977,The Scapegoat,The Scapegoat,2012,2012-09-09,Drama,108,UK,English,Charles Sturridge,"Daphne Du Maurier, Charles Sturridge",Island Pictures,"Matthew Rhys, Eileen Atkins, Anton Lesser, Jodhi May, Phoebe Nicholls, Alice Orr-Ewing, Andrew Scott, Sheridan Smith, Sylvie Testud, Pip Torrens, Ian Mercer, Eloise Webb, Julian Wadham, Richard Ridings, Roland Oliver","Set in 1952, as England prepares for the coronation, this movie tells the story of two very different men who have one thing in common - a face.",7.2,3948,,,,,20.0,4.0,1,,
tt0230575,Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror,Night of the Day of the Dawn of the Son of the Bride of the Return of the Terror,1991,1991,"Comedy, Horror",96,USA,English,James Riffel,James Riffel,Jiveass Video,"William Burchinal, Bill Cardille, Marilyn Eastman, Karl Hardman, Ross Harris, Lee Hartman, S. William Hinzman, Steve Hutsko, Dave James, Duane Jones, George Kosana, William Mogush, Judith O'Dea, Mark Ricci, Richard Ricci","The makers of this parody of ""Night of the Living Dead"" took George Romero's classic and wiped the soundtrack clean, then redubbed it with comedic dialogue.",4.6,609,,,,,31.0,4.0,0,,
tt0119596,Maharaja,Maharaja,1998,1998-09-04,"Adventure, Comedy, Family",164,India,Hindi,Anil Sharma,,,"Govinda, Manisha Koirala, Raj Babbar, Salim Ghouse, Shakti Kapoor, Aruna Irani, Kulbhushan Kharbanda, Ishrat Ali, Aparajita, Shyam Bahadur, Bajrangi, Birbal, Prem Chopra, Amit Ghanshyam, Ginni","Fearing his death, Ranbir Singh (Salim Ghouse) decides to kill Kohinoor when he is a child, in vain though. After 20 years Kohinoor (Govinda) returns to claim his rightful place in the ...",4.0,379,,,,,3.0,2.0,1,,
tt7380226,Okkadu Migiladu,Okkadu Migiladu,2017,2017-11-10,Action,141,India,Telugu,Ajay Andrews Nuthakki,Ajay Andrews Nuthakki,Padmaja Films,"Anisha Ambrose, Milind Gunaji, Manoj Kumar Manchu, Murali Mohan, Ajay Andrews Nuthakki, Krishna Murali Posani, Suhasini",Based on events during Srilankan civil war and Tamil refugees who were lost in sea without food and water for 10 days on their way to India.,7.2,731,,,,,9.0,2.0,1,,
tt0065501,Un proiettile per Pretty Boy,A Bullet for Pretty Boy,1970,1970-07-15,"Action, Biography, Crime",89,USA,English,"Larry Buchanan, Maury Dexter","Tony Huston, Larry Buchanan",American International Pictures (AIP),"Fabian, Jocelyn Lane, Astrid Warner, Adam Roarke, Michael Haynes, Robert Glenn, Annabelle Weenick, Camilla Carr, Jeff Alexander, Desmond Dhooge, Bill Thurman, Hugh Feagin, Jessie Lee Fulton, James N. Harrell, Gene Ross","The movie tells the biography of the gangster Charles ""Pretty Boy"" Floyd who started his career young aged when he saw his father die and seeked out revenge by killing his murderer during a...",5.1,171,$ 350000,,,,7.0,5.0,0,,
tt0037142,Oath of Vengeance,Oath of Vengeance,1944,1944-12-09,Western,57,USA,English,Sam Newfield,Fred Myton,Sigmund Neufeld Productions,"Buster Crabbe, Falcon, Al St. John, Mady Lawrence, Jack Ingram, Charles King, Marin Sais, Karl Hackett, Kermit Maynard, Hal Price, Frank Ellis","Fuzzy opens a store only to find that everyone buys on credit. The absence of cash is due to the range war between the cattlemen and the farmers started by Kinney. The Sheriff being worthless, Billy is quickly drawn into the conflict.",6.2,129,,,,,7.0,1.0,0,,
tt0204322,Firecracker,Firecracker,2005,2005-10-11,"Crime, Drama, Mystery",112,USA,English,Steve Balderson,"Steve Balderson, Clark Balderson",Dikenga Films,"Karen Black, Mike Patton, Susan Traylor, Kathleen Wilhoite, Jak Kendall, Brooke Balderson, Paul Sizemore, Jane Wiedlin, George McArthur, Cathy Berry, Pleasant Gehman, Selene Luna, Susie Legault, Jeff Montague, Sean R. Shuford","A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to ...",5.4,904,$ 2000000,,,,87.0,27.0,0,,
tt0057182,The indian: la prova del coraggio,Indian Paint,1965,1965-04-08,"Drama, Family, Western",91,USA,English,Norman Foster,"Norman Foster, Glenn Balch",Eagle American,"Johnny Crawford, Jay Silverheels, Pat Hogan, George J. Lewis, Joan Hallmark, Cinda Siler, Bill Blackwell, Al Doney, Marshall Jones, Suzanne Goodman, Warren L. Dodge","Nishko is a chief's son in the Great Plains, before Europeans arrive. During his rite of passage, he's determined to tame a painted pony. He approaches manhood while his peaceful clan is ...",5.4,160,,,,,10.0,4.0,0,,
tt2524674,Feuchtgebiete,Feuchtgebiete,2013,2013-08-22,"Comedy, Drama",109,Germany,German,David Wnendt,"Claus Falkenberg, David Wnendt",Rommel Film,"Carla Juri, Christoph Letkowski, Marlen Kruse, Meret Becker, Axel Milberg, Peri Baumeister, Edgar Selge, Clara Wunsch, Ludger Bökelmann, Bernardo Arias Porras, Selam Tadese, Pia Röver, Harry Baer, Merlin Rose, Florian Rummel",The adventures of an eccentric girl who has strange attitudes towards hygiene and sexuality longs for the reunion of her divorced parents.,5.8,10879,,$ 59478,$ 10561230,77.0,35.0,106.0,1,$,10561230.0
tt0070194,Take Me High,Take Me High,1973,1973-12-07,"Comedy, Musical, Romance",90,UK,English,David Askey,"Christopher Penfold, Christopher Penfold",The Brumburger Company,"Cliff Richard, Deborah Watling, Hugh Griffith, George Cole, Anthony Andrews, Richard Wattis, Madeline Smith, Moyra Fraser, Ronald Hines, Jimmy Gardner, Noel Trevarthen, Graham Armitage, John Franklyn-Robbins, Peter Marshall, Elizabeth Scott","Merchant banker Tim, excited to hear he's to go to New York, is sent to Birmingham instead to pressure a small struggling restaurant. But he turns this into a positive by falling in love ...",4.7,173,,,,,15.0,2.0,1,,
